S&atilde;o Paulo | Todos os Munic&iacute;pios,,,,,,,,,,,,,,
Munic&iacute;pio [-],C&oacute;digo [-],Gent&iacute;lico [-],Prefeito [2025],&Aacute;rea Territorial - km&sup2; [2025],Popula&ccedil;&atilde;o no &uacute;ltimo censo - pessoas [2022],Densidade demogr&aacute;fica - hab/km&sup2; [2022],Popula&ccedil;&atilde;o estimada - pessoas [2025],Escolariza&ccedil;&atilde;o &lt;span&gt;6 a 14 anos&lt;/span&gt; - % [2022],IDHM &lt;span&gt;&Iacute;ndice de desenvolvimento humano municipal&lt;/span&gt; [2010],Mortalidade infantil - &oacute;bitos por mil nascidos vivos [2023],Total de receitas brutas realizadas - R$ [2024],Total de despesas brutas empenhadas - R$ [2024],PIB per capita - R$ [2023],
Catigu&aacute;,3511201,catig&uuml;ense,CLAUDEMIR JOSE GRAVA,146.568,7003,47.19,7101,97.54,0.751,-,45220188.82,42066099.52,28123.15,
Cedral,3511300,cedralense,IRINEO BEOLCHI JUNIOR,197.099,12618,63.78,13314,99.3,0.766,-,94565623.59,89982316.85,64104.42,
Cerqueira C&eacute;sar,3511409,cerqueirense,DIEGO AUGUSTO BERTI CINTO,511.621,21469,41.96,22210,99.71,0.729,8.06,143045517.1,135240203.5,65239.1,
Cerquilho,3511508,cerquilhense,PAULO ROBERTO PILON,127.803,44695,349.72,46391,99.78,0.782,6.28,290186454.2,306513880.8,64690.18,
Ces&aacute;rio Lange,3511607,cesariano-lange,RAMIRO DE CAMPOS,190.392,19048,100.05,19707,99.36,0.706,19.92,123506309.6,114317602.3,63832.64,
Charqueada,3511706,charqueadense,RODRIGO DE ARRUDA,175.846,15535,88.34,15814,99.64,0.736,16.85,100932269.7,88136152.07,50892.01,
Clementina,3511904,clementinense,GILSON ROBERTO RODRIGUES CRIOLEZIO,168.59,6982,41.41,7084,96.13,0.725,23.81,54742997.68,44445725.56,36394.63,
Colina,3512001,colinense,VALDEMIR ANTONIO MORALLES,422.303,18486,43.77,18880,99.5,0.757,4.9,176326170.6,155481100.5,111034.1,
Col&ocirc;mbia,3512100,colombiense,JULIO C&Eacute;SAR DOS SANTOS,728.648,6629,9.10,6802,96.91,0.710,9.62,93527495.47,84064634.88,112148.6,
Conchal,3512209,conchalense,ORLANDO CALEFFI JUNIOR,182.793,28101,153.73,29132,99.1,0.708,24.19,200410319.8,176795759.3,38919.04,
Conchas,3512308,conchense,PAULO NUNES DE ALMEIDA,467.327,15232,32.68,15345,98.96,0.736,5.35,110333974.5,90895541.24,36180.62,
Cordeir&oacute;polis,3512407,cordeiropolense,MARIA CRISTINA DEGASPARI ABRAH&Atilde;O SAAD,137.678,24514,178.18,25286,98.67,0.758,14.65,320369996,289524944.9,170021.84,
Coroados,3512506,coroadense,ROBERTO CARRILHO ALVES,246.826,5400,21.88,5504,99.68,0.719,21.28,48807693.86,49473856.11,62111.95,
Coronel Macedo,3512605,macedense,DIEGO GARCIA BATISTA,303.83,4280,14.09,4271,100,0.690,22.73,53524932.33,44773651.93,38749.81,
Corumbata&iacute;,3512704,corumbataiense,JO&Atilde;O BATISTA ALTARUGIO FILHO,278.622,4195,15.06,4296,100,0.754,-,51353389.55,44525858.38,84530.06,
